"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"작은 엄마 무삭제",2018-03-20,6000,6000,1,1,1,1,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","이리단",""
"작은 엄마들",2018-07-11,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"작은 엄마들(무삭제)",2018-09-12,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"잘 주는 간호사들 : 병원에서 생긴 일",2019-11-22,1000,1000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","드라마","박은석",""
"잘 주는 외국녀들",2019-12-13,1000,1000,1,1,1,1,"(주)영진크리에이티브","(주)영진크리에이티브","청소년관람불가","드라마","윤준세",""
"잘주는 누나들",2019-05-17,5000,5000,1,1,1,1,"(주)케이피에이기획","(주)케이피에이기획","청소년관람불가","멜로/로맨스","천성준",""
"잘주는 누나들 무삭제판",2019-09-20,5000,5000,1,1,1,1,"(주)케이피에이기획","(주)케이피에이기획","청소년관람불가","멜로/로맨스","천성준",""
"잘주는 여비서들",2019-05-24,2000,2000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","드라마","윤중부",""
"잘주는 여비서들 무삭제",2019-08-28,1000,1000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","드라마","윤중부",""
"장모님들",2018-10-16,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"장모님들 (감독판)",2018-12-26,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"장모님의 개인교습",2018-09-12,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"장모님의 개인교습 (감독판)",2018-11-09,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"장모의 딸 무삭제판",2019-12-06,6000,6000,1,1,1,1,"(주)영진크리에이티브","(주)영진크리에이티브","청소년관람불가","멜로/로맨스,드라마","윤준세",""
"장모의유혹-무삭제",2019-05-10,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","김이슬",""
"장모학개론-무삭제",2018-07-06,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","김다니엘",""
"젊은 과부",2019-10-16,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이진",""
"젊은 누나-무삭제판",2019-02-27,1000,1000,1,1,1,1,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"젊은 며느리 무삭제판",2019-09-03,5000,5000,1,1,1,1,"(주)가온콘텐츠","(주)가온콘텐츠","청소년관람불가","드라마,멜로/로맨스","한동호",""
"젊은 미망인 무삭제판",2019-08-01,1000,1000,1,1,1,1,"","(주)가온콘텐츠","청소년관람불가","드라마,멜로/로맨스","한동호",""
"젊은 새엄마들",2019-08-16,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김진수",""
"젊은 새엄마들 무삭제",2019-10-15,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김진수",""
"젊은 아내: 남편 교환의 날 (무삭제)",2018-01-22,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이진",""
"젊은 엄마 친구 2 무삭제",2019-12-24,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","정현수",""
"젊은 엄마 친구 무삭제판",2018-11-07,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","유해종",""
"젊은 장모님들",2019-05-03,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이진",""
